Incident energy ; σ(E)
0.4305371 ; 631.4131
0.4337431 ; 606.5384
0.4369491 ; 583.1427
0.440155 ; 561.1178
0.443361 ; 540.3628
0.446567 ; 520.7868
0.449773 ; 502.3055
0.452979 ; 484.8416
0.456185 ; 468.3241
0.459391 ; 452.6879
0.462597 ; 437.8732
0.4658029 ; 423.8257
0.4700776 ; 406.2019
0.4743522 ; 389.7471
0.4786269 ; 374.3666
0.4829015 ; 359.978
0.4871762 ; 346.5046
0.4914508 ; 333.8744
0.5 ; 310.8575
0.515625 ; 275.0533
0.53125 ; 245.6535
0.546875 ; 221.3384
0.5625 ; 201.0144
0.578125 ; 183.8493
0.59375 ; 169.2155
0.609375 ; 156.6331
0.625 ; 145.7301
0.640625 ; 136.2154
0.65625 ; 127.8583
0.671875 ; 120.4834
0.6875 ; 113.9841
0.71875 ; 102.9184
0.75 ; 93.86093
0.78125 ; 86.39136
0.8125 ; 80.14461
0.84375 ; 74.85553
0.875 ; 70.32788
0.90625 ; 66.41393
0.9375 ; 63.0006
0.96875 ; 60.00015
1.0 ; 57.3436
1.03125 ; 54.9764
1.0625 ; 52.87051
1.125 ; 49.23638
1.1875 ; 46.20945
1.25 ; 43.66146
1.3125 ; 41.48562
1.375 ; 39.60434
1.4375 ; 37.95996
1.5 ; 36.50887
1.5625 ; 35.21751
1.625 ; 34.06548
1.75 ; 32.07603
1.875 ; 30.41307
2.0 ; 29.00522
2.1875 ; 27.24577
2.375 ; 25.79914
2.5625 ; 24.58733
2.75 ; 23.55568
2.9375 ; 22.66628
3.125 ; 21.89192
3.3125 ; 21.21263
3.5 ; 20.61515
3.875 ; 19.61547
4.25 ; 18.82859
4.625 ; 18.22211
5.0 ; 17.78122
5.260035 ; 17.57915
5.520069 ; 17.47127
5.682591 ; 17.46458
5.845112 ; 17.51519
6.007634 ; 17.63818
6.170155 ; 17.85609
6.251416 ; 18.00216
6.332677 ; 18.19337
6.413938 ; 18.43147
6.495198 ; 18.72648
6.576459 ; 19.09244
6.65772 ; 19.54836
6.738981 ; 20.12055
6.820241 ; 20.8461
6.882541 ; 21.53423
6.944841 ; 22.36752
7.007141 ; 23.41161
7.069441 ; 24.72793
7.131741 ; 26.41437
7.162891 ; 27.44103
7.194041 ; 28.62287
7.225191 ; 29.99199
7.256341 ; 31.58761
7.287491 ; 33.4615
7.318641 ; 35.6897
7.348437 ; 38.2496
7.378232 ; 41.3493
7.408028 ; 45.1503
7.437823 ; 49.88287
7.452721 ; 52.69847
7.467619 ; 55.88475
7.482517 ; 59.51052
7.497414 ; 63.66121
7.512312 ; 68.44579
7.52721 ; 74.00355
7.542108 ; 80.51738
7.557005 ; 88.22988
7.571903 ; 97.46989
7.586801 ; 108.6858
7.601699 ; 122.5039
7.616597 ; 139.8183
7.624046 ; 150.1726
7.631495 ; 161.9322
7.638944 ; 175.3591
7.646393 ; 190.7726
7.653842 ; 208.5601
7.661291 ; 229.1884
7.66874 ; 253.2135
7.676188 ; 281.2824
7.685669 ; 324.052
7.695149 ; 376.3036
7.70463 ; 439.8625
7.71411 ; 516.4199
7.720882 ; 579.8068
7.727654 ; 650.7192
7.734426 ; 729.0682
7.741197 ; 814.3524
7.747969 ; 905.6303
7.75474 ; 1001.375
7.761512 ; 1099.562
7.768283 ; 1197.588
7.778847 ; 1342.999
7.789411 ; 1468.053
7.799975 ; 1560.348
7.810538 ; 1609.843
7.8158 ; 1616.546
7.826325 ; 1593.081
7.83685 ; 1523.16
7.849435 ; 1389.466
7.862019 ; 1219.682
7.874604 ; 1035.21
7.887188 ; 854.9725
7.897125 ; 724.6357
7.907061 ; 609.1601
7.916998 ; 510.0266
7.926934 ; 427.0261
7.936871 ; 358.7791
7.946807 ; 303.3485
7.956744 ; 258.6038
7.96668 ; 222.539
7.974525 ; 199.0225
7.98237 ; 179.0706
7.990215 ; 162.0631
7.998059 ; 147.4879
8.005904 ; 134.9208
8.013748 ; 124.0229
8.021593 ; 114.514
8.029437 ; 106.1715
8.037282 ; 98.81041
8.045126 ; 92.28349
8.060815 ; 81.26137
8.076504 ; 72.36145
8.092193 ; 65.06835
8.106837 ; 59.38653
8.12148 ; 54.5672
8.136123 ; 50.44481
8.150766 ; 46.89222
8.16541 ; 43.80996
8.180053 ; 41.11996
8.209339 ; 36.67661
8.238626 ; 33.18548
8.267912 ; 30.39034
8.297199 ; 28.11622
8.326485 ; 26.2438
8.359956 ; 24.48657
8.393426 ; 23.04747
8.426897 ; 21.85647
8.460367 ; 20.8623
8.493838 ; 20.02746
8.527308 ; 19.32275
8.594248 ; 18.20308
8.661189 ; 17.36542
8.728129 ; 16.73753
8.79507 ; 16.26617
8.86201 ; 15.91481
8.945686 ; 15.60737
9.029362 ; 15.41963
9.113038 ; 15.33954
9.196713 ; 15.33518
9.297124 ; 15.44493
9.397535 ; 15.68393
9.497946 ; 16.0669
9.598357 ; 16.61366
9.698768 ; 17.39002
9.799179 ; 18.4857
9.849385 ; 19.18765
9.89959 ; 20.02056
9.949795 ; 21.01182
10.0 ; 22.19591
10.05194 ; 23.67958
10.10388 ; 25.50157
10.15582 ; 27.75744
10.20775 ; 30.57496
10.25969 ; 34.13444
10.28566 ; 36.27738
10.31163 ; 38.7254
10.3376 ; 41.53601
10.36357 ; 44.77796
10.38954 ; 48.53702
10.4155 ; 52.92042
10.44634 ; 59.13613
10.47718 ; 66.74396
10.50802 ; 76.16936
10.53886 ; 88.00381
10.55428 ; 95.07356
10.5697 ; 103.086
10.58512 ; 112.2079
10.60054 ; 122.6445
10.61596 ; 134.65
10.63138 ; 148.5397
10.6468 ; 164.7051
10.66221 ; 183.6184
10.67844 ; 207.1828
10.69467 ; 235.3465
10.7109 ; 269.1901
10.72713 ; 310.0278
10.74088 ; 351.2413
10.75462 ; 399.5883
